Subsystem_ID,Component_ID,Component_Name,Component_Type,Requirement_ID,VV_Case_ID,ATA_Chapter,Criticality_Level,Status,Owner,Notes
08_INTEGRATION_KITS,IK-002,HIL_Test_Harness,Test_Harness,REQ-IK-002,VV-IK-002,ATA-95,DAL-D,Active,Test_Team,Hardware-in-loop test harness
09_TEST_RIG_SUBSYSTEMS,TR-001,Flight_Simulator_Rig,Simulator,REQ-TR-001,VV-TR-001,ATA-95,DAL-D,Active,Test_Team,Full flight simulator
09_TEST_RIG_SUBSYSTEMS,TR-002,HIL_Control_Rig,HIL,REQ-TR-002,VV-TR-002,ATA-27,DAL-C,Active,Test_Team,Control system HIL rig
10_FRU,FRU-001,Flight_Computer_Module,FRU,REQ-FRU-001,VV-FRU-001,ATA-42,DAL-A,Active,Maintenance_Team,Replaceable flight computer
10_FRU,FRU-002,IMU_Module,FRU,REQ-FRU-002,VV-FRU-002,ATA-34,DAL-A,Active,Maintenance_Team,Replaceable IMU module
11_CONFIG_SETS,CS-001,Production_Config_Standard,Config_Set,REQ-CS-001,VV-CS-001,ATA-95,DAL-C,Active,Config_Team,Standard production configuration
11_CONFIG_SETS,CS-002,Test_Config_Lab,Config_Set,REQ-CS-002,VV-CS-002,ATA-95,DAL-D,Active,Config_Team,Laboratory test configuration
12_DIAGNOSTICS,DG-001,Health_Monitor_Service,Service,REQ-DG-001,VV-DG-001,ATA-45,DAL-C,Active,Diagnostics_Team,System health monitoring
12_DIAGNOSTICS,DG-002,Built_In_Self_Test,BIST,REQ-DG-002,VV-DG-002,ATA-45,DAL-C,Active,Diagnostics_Team,Automated self-test suite
13_SECURITY,SC-001,Crypto_Engine_Primary,Crypto,REQ-SC-001,VV-SC-001,ATA-95,DAL-B,Active,Security_Team,Primary cryptographic engine
13_SECURITY,SC-002,Access_Control_Service,Auth,REQ-SC-002,VV-SC-002,ATA-95,DAL-B,Active,Security_Team,Access control and authentication
