MSN,Phase,Milestone,Dataset_Type,Dataset_Name,Responsible,Planned_Date,Actual_Date,Status,Predecessor,Notes
MSN-PP002,Delivery,Customer Delivery Package,Delivery,Delivery_Package_Dimensional_Data,Customer Support,2028-04-10,TBD,Planned,As-Built Configuration Freeze,
MSN-PP003,Manufacturing,Component Measurements,Measurement,CMM_Reports_Components,Production QA,2028-01-15,TBD,Planned,Manufacturing Start,
MSN-PP003,Final Assembly,Overall Dimensions Measurement,Measurement,Photogrammetry_Final_Assembly,Production QA,2028-03-20,TBD,Planned,Final Assembly Complete,
MSN-PP003,As-Built,As-Built Configuration Freeze,As-Built,as_built_geometry_MSN-PP003.json,Production QA,2028-03-30,TBD,Planned,All Measurements Complete,
MSN-PP004,Manufacturing,Component Measurements,Measurement,CMM_Reports_Components,Production QA,2028-02-15,TBD,Planned,Manufacturing Start,
MSN-PP004,Final Assembly,Overall Dimensions Measurement,Measurement,Photogrammetry_Final_Assembly,Production QA,2028-04-25,TBD,Planned,Final Assembly Complete,
MSN-PP004,As-Built,As-Built Configuration Freeze,As-Built,as_built_geometry_MSN-PP004.json,Production QA,2028-05-05,TBD,Planned,All Measurements Complete,
MSN-PP005,Manufacturing,Component Measurements,Measurement,CMM_Reports_Components,Production QA,2028-03-15,TBD,Planned,Manufacturing Start,
MSN-PP005,Final Assembly,Overall Dimensions Measurement,Measurement,Photogrammetry_Final_Assembly,Production QA,2028-05-30,TBD,Planned,Final Assembly Complete,
MSN-PP005,As-Built,As-Built Configuration Freeze,As-Built,as_built_geometry_MSN-PP005.json,Production QA,2028-06-10,TBD,Planned,All Measurements Complete,
MSN-001,Design,Production Standard Baseline,Design,baseline_dimensions.json v3.0,Engineering,2029-01-15,TBD,Planned,Type Certification Complete,Certified design
MSN-001,Manufacturing,Component Measurements,Measurement,CMM_Reports_Components,Production QA,2029-05-15,TBD,Planned,Manufacturing Start,First production aircraft
MSN-001,Final Assembly,Overall Dimensions Measurement,Measurement,Photogrammetry_Final_Assembly,Production QA,2029-07-10,TBD,Planned,Final Assembly Complete,
MSN-001,As-Built,As-Built Configuration Freeze,As-Built,as_built_geometry_MSN-001.json,Production QA,2029-07-20,TBD,Planned,All Measurements Complete,
MSN-001,Delivery,Customer Delivery Package,Delivery,Delivery_Package_Dimensional_Data,Customer Support,2029-09-05,TBD,Planned,As-Built Configuration Freeze,
MSN-002,Manufacturing,Component Measurements,Measurement,CMM_Reports_Components,Production QA,2029-06-15,TBD,Planned,Manufacturing Start,
MSN-002,Final Assembly,Overall Dimensions Measurement,Measurement,Photogrammetry_Final_Assembly,Production QA,2029-08-15,TBD,Planned,Final Assembly Complete,
MSN-002,As-Built,As-Built Configuration Freeze,As-Built,as_built_geometry_MSN-002.json,Production QA,2029-08-25,TBD,Planned,All Measurements Complete,
