Tooling_ID,Description,Type,Accuracy_mm,Calibration_Frequency_Months,Last_Calibration,Next_Due,Status,Location,Responsible_Team
AJ-53-400-001,Forward Spar Assembly Jig,Fixture,0.2,12,2025-02-01,2026-02-01,Active,Building E Bay 1,Wing Box Team
AJ-53-400-002,Rear Spar Assembly Jig,Fixture,0.2,12,2025-02-01,2026-02-01,Active,Building E Bay 2,Wing Box Team
AJ-53-400-003,MLG Bay Left Assembly Jig,Fixture,0.1,6,2025-08-01,2026-02-01,Active,Building E Bay 3,Landing Gear Team
AJ-53-400-004,MLG Bay Right Assembly Jig,Fixture,0.1,6,2025-08-01,2026-02-01,Active,Building E Bay 4,Landing Gear Team
AJ-53-600-001,Aft Bulkhead Assembly Jig,Fixture,0.2,12,2025-03-01,2026-03-01,Active,Building F Bay 1,Tail Team
AJ-53-600-002,Empennage Attachment Jig,Fixture,0.2,12,2025-03-15,2026-03-15,Active,Building F Bay 2,Tail Team
AM-53-600-003,Tail Cone Assembly Mandrel,Mandrel,0.5,12,2025-04-01,2026-04-01,Active,Building F Bay 3,Tail Team
LASER-ALIGN-01,Laser Alignment System,Measurement,0.05,3,2025-09-01,2025-12-01,Active,Portable,Metrology
LASER-ALIGN-02,Multi-Axis Laser System,Measurement,0.05,3,2025-09-01,2025-12-01,Active,Portable,Metrology
LASER-TRACK-01,Laser Tracker System,Measurement,0.05,1,2025-10-01,2025-11-01,Active,Portable,Metrology
TW-0-50NM,Torque Wrench 0-50 Nm,Hand Tool,±2%,3,2025-09-01,2025-12-01,Active,Tool Crib A,QC Team
TW-0-100NM,Torque Wrench 0-100 Nm,Hand Tool,±2%,3,2025-09-01,2025-12-01,Active,Tool Crib A,QC Team
TW-0-150NM,Torque Wrench 0-150 Nm,Hand Tool,±2%,3,2025-09-01,2025-12-01,Active,Tool Crib B,QC Team
TW-0-200NM,Torque Wrench 0-200 Nm,Hand Tool,±2%,3,2025-09-01,2025-12-01,Active,Tool Crib B,QC Team
US-CSCAN-01,Ultrasonic C-Scan Equipment,NDT,Per Mfg,6,2025-07-01,2026-01-01,Active,NDT Lab,NDT Team
LOAD-TEST-100KN,Load Test Fixture 100kN,Test Equipment,±1%,12,2025-01-15,2026-01-15,Active,Test Lab 1,Test Team
LOAD-TEST-250KN,Load Test Fixture 250kN,Test Equipment,±1%,12,2025-01-15,2026-01-15,Active,Test Lab 2,Test Team
LOAD-TEST-500KN,Load Test Fixture 500kN,Test Equipment,±1%,6,2025-08-01,2026-02-01,Active,Test Lab 3,Test Team
PRESS-TEST-01,Pressure Test Equipment,Test Equipment,±0.5%,6,2025-08-15,2026-02-15,Active,Pressure Test Lab,Test Team
