Storage_ID,95-20_Subsystems,95-30_Circularity,95-50_Structures,95-40_Software,ATA_Primary,ATA_Secondary,Design_Phase,Test_Phase,Integration_Phase,Cert_Phase,Maintenance_Phase,Notes
S-31-002,95-20-31-DataRecording-CVR,95-30-31-DataRec-Lifecycle,95-50-31-DataRec-Installation,95-40-31-DataRec-Software,ATA-31,ATA-46,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,Cockpit voice recorder 2 hrs
S-31-003,95-20-31-DataRecording-QAR,95-30-31-DataRec-Lifecycle,95-50-31-DataRec-Installation,95-40-31-DataRec-Software,ATA-31,ATA-46,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,Quick access recorder 100 hrs
S-31-004,95-20-31-DataHubs-Primary,95-30-31-DataHub-Lifecycle,95-50-31-DataHub-Installation,95-40-31-DataHub-Software,ATA-31,ATA-46,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,Primary data hub 5 TB
S-31-005,95-20-31-DataHubs-Secondary,95-30-31-DataHub-Lifecycle,95-50-31-DataHub-Installation,95-40-31-DataHub-Software,ATA-31,ATA-46,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,Secondary data hub 5 TB
S-38-001,95-20-38-Water-Tanks,95-30-38-Water-Lifecycle,95-50-38-Water-Installation,95-40-38-Water-Monitoring,ATA-38,ATA-21,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,Potable water main tank 300 L
S-38-002,95-20-38-Water-Tanks,95-30-38-Water-Lifecycle,95-50-38-Water-Installation,95-40-38-Water-Monitoring,ATA-38,ATA-21,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,Potable water reserve tank 100 L
S-38-003,95-20-38-Waste-Tanks,95-30-38-Waste-Lifecycle,95-50-38-Waste-Installation,95-40-38-Waste-Monitoring,ATA-38,ATA-21,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,Grey water tank 200 L
S-38-004,95-20-38-Waste-Tanks,95-30-38-Waste-Lifecycle,95-50-38-Waste-Installation,95-40-38-Waste-Monitoring,ATA-38,ATA-21,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,Black water tank 150 L
S-46-001,95-20-46-Digital-DataLake,95-30-46-Digital-Lifecycle,95-50-46-Digital-Infrastructure,95-40-46-Digital-Platform,ATA-46,ATA-31,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,Central data lake 100 TB
S-46-002,95-20-46-Digital-ModelRegistry,95-30-46-Digital-Lifecycle,95-50-46-Digital-Infrastructure,95-40-46-Digital-Platform,ATA-46,ATA-95,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,AI/ML model registry 10 TB
S-46-003,95-20-46-Digital-ContainerRegistry,95-30-46-Digital-Lifecycle,95-50-46-Digital-Infrastructure,95-40-46-Digital-Platform,ATA-46,ATA-95,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,Container registry 5 TB
S-46-004,95-20-46-Digital-ColdStorage,95-30-46-Digital-Lifecycle,95-50-46-Digital-Infrastructure,95-40-46-Digital-Platform,ATA-46,ATA-31,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,Cold archive 500 TB
S-49-001,95-20-49-APU-FuelSystem,95-30-49-APU-Lifecycle,95-50-49-APU-Installation,95-40-49-APU-Control,ATA-49,ATA-80,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,APU fuel tank 80 L
S-49-002,95-20-49-APU-Lubrication,95-30-49-APU-Lifecycle,95-50-49-APU-Installation,95-40-49-APU-Control,ATA-49,,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,APU oil reservoir 8 L
S-70-001,95-20-70-Propulsion-Thermal,95-30-70-Propulsion-Lifecycle,95-50-70-Propulsion-Integration,95-40-70-Propulsion-Control,ATA-70,ATA-28,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,Starboard propulsion thermal buffer
S-70-002,95-20-70-Propulsion-Thermal,95-30-70-Propulsion-Lifecycle,95-50-70-Propulsion-Integration,95-40-70-Propulsion-Control,ATA-70,ATA-28,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,Port propulsion thermal buffer
S-70-003,95-20-70-Propulsion-Mechanical,95-30-70-Propulsion-Lifecycle,95-50-70-Propulsion-Integration,95-40-70-Propulsion-Control,ATA-70,,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,Spool mechanical energy buffer
S-80-001,95-20-80-CO2Battery-System,95-30-80-CO2Battery-Lifecycle,95-50-80-CO2Battery-Integration,95-40-80-CO2Battery-Control,ATA-80,ATA-24,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,CO2 battery system 500 kWh
S-80-002,95-20-80-HVDC-Bus,95-30-80-HVDC-Lifecycle,95-50-80-HVDC-Integration,95-40-80-HVDC-Control,ATA-80,ATA-24,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,HVDC bus buffer capacitor
S-80-003,95-20-80-Hybrid-Energy,95-30-80-Hybrid-Lifecycle,95-50-80-Hybrid-Integration,95-40-80-Hybrid-Control,ATA-80,ATA-70,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,Hybrid energy storage controller
