DMC,Title,Info_Code,Type,Revision,Status,CAOS_Artifact,Location
AMP-02-32-04-06-100-A.XML,Documentation Sign-Off,100,Operating Procedures,001,Initial Release,DP_02-32-04-06_Digital_Signoff.json,02-32-04-00_POST_REFUELING_PROCEDURES
AMP-02-32-05-01-100-E.XML,Emergency Initiation,100,Emergency Procedures,001,Initial Release,,02-32-05-00_EMERGENCY_DEFUELING
AMP-02-32-05-02-100-E.XML,Rapid Defuel 150kg/min,100,Emergency Procedures,001,Initial Release,RTD-02-32-05-02-FLOW-v1.0.yaml,02-32-05-00_EMERGENCY_DEFUELING
AMP-02-32-05-03-100-E.XML,Safe Quantity Defuel,100,Emergency Procedures,001,Initial Release,,02-32-05-00_EMERGENCY_DEFUELING
AMP-02-32-05-04-100-E.XML,Emergency Isolation,100,Emergency Procedures,001,Initial Release,,02-32-05-00_EMERGENCY_DEFUELING
AMP-02-32-05-05-100-E.XML,Ground Emergency Response,100,Emergency Procedures,001,Initial Release,,02-32-05-00_EMERGENCY_DEFUELING
AMP-02-32-06-01-000-A.XML,Full Refuel 45min,000,Descriptive,001,Initial Release,,02-32-06-00_REFUELING_TIME_DATA
AMP-02-32-06-02-000-A.XML,Partial Refuel 25min,000,Descriptive,001,Initial Release,,02-32-06-00_REFUELING_TIME_DATA
AMP-02-32-06-03-000-A.XML,Setup Time 15min,000,Descriptive,001,Initial Release,,02-32-06-00_REFUELING_TIME_DATA
AMP-02-32-06-04-000-A.XML,Breakdown Time 10min,000,Descriptive,001,Initial Release,,02-32-06-00_REFUELING_TIME_DATA
AMP-02-32-06-05-400-A.XML,Turnaround Impact,400,Process Data,001,Initial Release,DS_02-32-06-05_Turnaround_Optimizer.py,02-32-06-00_REFUELING_TIME_DATA
