Entity,Field,Type,Constraints,Description,Notes
OM_EVENT,context_id,UUID,FK → OPERATIONAL_CONTEXT,Contexto operacional (tabla opcional),
OM_EVENT,flight_id,VARCHAR(64),,Identificador de vuelo/misión,"Ejemplo: Q100-001-FLT-042"
OM_EVENT,mission_type,VARCHAR(64),,"Tipo: test_flight, revenue_service, validation",
OM_EVENT,timestamp_start,TIMESTAMP,NOT NULL,Inicio de la operación,
OM_EVENT,timestamp_end,TIMESTAMP,,Fin de la operación,
OM_EVENT,duration_seconds,INTEGER,,Duración en segundos,Calculado o directo
OM_EVENT,om_data,JSONB,,Datos operacionales resumidos,"KPIs, métricas, logs"
OM_EVENT,anomalies,JSONB,,Anomalías detectadas,
OM_EVENT,environment,JSONB,,Condiciones ambientales,"Meteo, altitud, configuración"
OM_EVENT,notes,TEXT,,Notas adicionales,
OM_EVENT,created_at,TIMESTAMP,NOT NULL,Fecha/hora de creación del registro,
OAV_CAMPAIGN,id,UUID,PRIMARY KEY,Identificador único de campaña,
OAV_CAMPAIGN,dpp_id,UUID,NOT NULL FK → DPP_RECORD,DPP siendo validado,
OAV_CAMPAIGN,name,VARCHAR(256),NOT NULL,Nombre de la campaña,"Ejemplo: OAV_FC_Pitch_Q100_Phase2"
OAV_CAMPAIGN,status,VARCHAR(32),NOT NULL,"Estado: Planned, Running, Paused, Completed, Closed, Cancelled",
OAV_CAMPAIGN,objectives,TEXT,,Objetivos de la campaña,
OAV_CAMPAIGN,criteria,JSONB,,Criterios de validación,"Umbrales, KPIs, escenarios"
OAV_CAMPAIGN,result,JSONB,,Resultado agregado,"Ejemplo: {passed: true, findings: [...], metrics: {...}}"
OAV_CAMPAIGN,findings,TEXT,,Hallazgos detallados,
OAV_CAMPAIGN,recommendation,TEXT,,Recomendaciones y acciones,
OAV_CAMPAIGN,planned_start_date,DATE,,Fecha planificada de inicio,
OAV_CAMPAIGN,actual_start_date,DATE,,Fecha real de inicio,
OAV_CAMPAIGN,planned_end_date,DATE,,Fecha planificada de fin,
OAV_CAMPAIGN,completed_at,TIMESTAMP,,Fecha/hora de completado,
OAV_CAMPAIGN,created_at,TIMESTAMP,NOT NULL,Fecha/hora de creación,
OAV_CAMPAIGN,created_by,VARCHAR(128),,Creador de la campaña,
OAV_CAMPAIGN,lead_engineer,VARCHAR(128),,Ingeniero responsable,
OAV_EVENT_LINK,oav_id,UUID,NOT NULL FK → OAV_CAMPAIGN,Campaña OAV,Clave primaria compuesta
OAV_EVENT_LINK,om_event_id,UUID,NOT NULL FK → OM_EVENT,Evento OM incluido,Clave primaria compuesta
OAV_EVENT_LINK,relevance_score,NUMERIC(3,2),,Puntuación de relevancia (0.00-1.00),
OAV_EVENT_LINK,notes,TEXT,,Notas sobre la relación,
OAV_EVENT_LINK,added_at,TIMESTAMP,NOT NULL,Fecha/hora de vinculación,
DT_SNAPSHOT,id,UUID,PRIMARY KEY,Identificador único del snapshot,
DT_SNAPSHOT,system_id,UUID,NOT NULL FK → SYSTEM_PRODUCT,Sistema gemelo digital,
DT_SNAPSHOT,dpp_id,UUID,FK → DPP_RECORD,DPP asociado,
DT_SNAPSHOT,source_oav_id,UUID,FK → OAV_CAMPAIGN,OAV fuente de este DT,
DT_SNAPSHOT,version_tag,VARCHAR(64),,Etiqueta de versión,"Ejemplo: DT_v1.3, snapshot_20250115"
DT_SNAPSHOT,dt_state,JSONB,NOT NULL,Estado condensado del gemelo,"Modelos, parámetros, curvas, anomalías"
DT_SNAPSHOT,performance_metrics,JSONB,,Métricas de rendimiento agregadas,
DT_SNAPSHOT,health_indicators,JSONB,,Indicadores de salud del sistema,
DT_SNAPSHOT,predictive_models,JSONB,,Modelos predictivos entrenados,
DT_SNAPSHOT,accumulated_hours,NUMERIC(10,2),,Horas operacionales acumuladas,
DT_SNAPSHOT,accumulated_cycles,INTEGER,,Ciclos operacionales acumulados,
DT_SNAPSHOT,confidence_level,NUMERIC(3,2),,Nivel de confianza (0.00-1.00),
DT_SNAPSHOT,notes,TEXT,,Notas adicionales,
DT_SNAPSHOT,created_at,TIMESTAMP,NOT NULL,Fecha/hora de creación del snapshot,
DT_SNAPSHOT,created_by,VARCHAR(128),,Creador del snapshot,
